path,filename,width,height,classe,xmin,ymin,xmax,ymax,index
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,incertain,3234,2785,3254,2813,16
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0341.JPG,5200,3900,ground,3211,2782,3231,2810,17
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0342.JPG,5200,3900,incertain,1038,3558,1167,3625,18
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0342.JPG,5200,3900,ground,903,3552,1032,3619,19
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0342.JPG,5200,3900,pie,4536,3243,4584,3297,20
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0342.JPG,5200,3900,ground,4484,3241,4532,3295,21
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,2153,3280,2209,3328,22
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,2216,3270,2272,3318,23
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,2108,3330,2187,3374,24
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,2020,3319,2099,3363,25
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,2182,3394,2301,3483,26
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,2311,3386,2430,3475,27
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,633,3220,728,3274,28
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,532,3214,627,3268,29
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,1239,3350,1324,3412,30
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,1141,3345,1226,3407,31
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,1266,2946,1328,2989,32
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,1193,2938,1255,2981,33
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,incertain,920,2721,953,2755,34
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,959,2718,992,2752,35
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0555.JPG,5200,3900,incertain,3331,2239,3412,2297,36
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0555.JPG,5200,3900,ground,3245,2231,3326,2289,37
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0589.JPG,5200,3900,incertain,1132,215,1439,411,38
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0589.JPG,5200,3900,ground,1449,206,1756,402,39
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0017.JPG,5200,3900,incertain,3123,2801,3151,2826,40
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0017.JPG,5200,3900,ground,3092,2799,3120,2824,41
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0017.JPG,5200,3900,incertain,3144,2852,3186,2873,42
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0017.JPG,5200,3900,ground,3098,2850,3140,2871,43
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0201.JPG,5200,3900,corneille,2222,2606,2287,2651,44
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0201.JPG,5200,3900,ground,2145,2597,2210,2642,45
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0203.JPG,5200,3900,corneille,2468,2823,2515,2851,46
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0203.JPG,5200,3900,ground,2415,2816,2462,2844,47
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0203.JPG,5200,3900,corneille,4788,2789,4829,2840,48
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0203.JPG,5200,3900,ground,4741,2784,4782,2835,49
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,incertain,1631,2906,1711,2960,50
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,ground,1544,2898,1624,2952,51
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0233.JPG,5200,3900,incertain,3965,2751,4034,2817,52
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0233.JPG,5200,3900,ground,3885,2744,3954,2810,53
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0233.JPG,5200,3900,incertain,2462,1645,2563,1706,54
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0233.JPG,5200,3900,ground,2352,1638,2453,1699,55
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0330.JPG,5200,3900,incertain,4597,2822,4639,2865,56
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0330.JPG,5200,3900,ground,4548,2817,4590,2860,57
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0332.JPG,5200,3900,corneille,3764,3602,3836,3695,58
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0332.JPG,5200,3900,ground,3685,3597,3757,3690,59
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0342.JPG,5200,3900,corneille,4042,3289,4085,3364,60
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0342.JPG,5200,3900,ground,3994,3286,4037,3361,61
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0364.JPG,5200,3900,incertain,4118,1541,4228,1611,62
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0364.JPG,5200,3900,ground,3996,1531,4106,1601,63
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0419.JPG,5200,3900,corneille,269,3168,371,3251,64
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0419.JPG,5200,3900,ground,158,3162,260,3245,65
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0419.JPG,5200,3900,corneille,2066,3583,2143,3708,66
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0419.JPG,5200,3900,ground,1976,3577,2053,3702,67
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0427.JPG,5200,3900,incertain,4479,2161,4576,2249,68
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0427.JPG,5200,3900,ground,4374,2156,4471,2244,69
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0440.JPG,5200,3900,corneille,996,2981,1054,3031,70
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0440.JPG,5200,3900,ground,931,2976,989,3026,71
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0505.JPG,5200,3900,incertain,2447,992,3667,1842,72
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0505.JPG,5200,3900,ground,1165,960,2385,1810,73
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0517.JPG,5200,3900,incertain,4370,2780,4420,2811,74
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0517.JPG,5200,3900,ground,4314,2774,4364,2805,75
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0528.JPG,5200,3900,corneille,1238,2767,1283,2805,76
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0528.JPG,5200,3900,ground,1186,2764,1231,2802,77
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0533.JPG,5200,3900,corneille,2943,3063,3199,3468,78
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0533.JPG,5200,3900,ground,3215,3051,3471,3456,79
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0556.JPG,5200,3900,corneille,3238,2760,3289,2791,80
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0556.JPG,5200,3900,ground,3179,2753,3230,2784,81
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0579.JPG,5200,3900,incertain,3986,2032,4061,2090,82
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0579.JPG,5200,3900,ground,3904,2027,3979,2085,83
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0681.JPG,5200,3900,corneille,274,2721,299,2759,84
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0681.JPG,5200,3900,ground,242,2716,267,2754,85
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0776.JPG,5200,3900,incertain,4667,1371,4727,1423,86
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0776.JPG,5200,3900,ground,4598,1366,4658,1418,87
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0046.JPG,5200,3900,incertain,2799,1689,3080,1976,88
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0046.JPG,5200,3900,ground,2499,1682,2780,1969,89
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0047.JPG,5200,3900,pigeon,3100,1965,3342,2192,90
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0047.JPG,5200,3900,ground,2845,1955,3087,2182,91
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0103.JPG,5200,3900,incertain,1747,3237,2592,3727,92
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0103.JPG,5200,3900,ground,845,3175,1690,3665,93
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0103.JPG,5200,3900,incertain,4047,3077,4522,3372,94
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0103.JPG,5200,3900,ground,3505,3035,3980,3330,95
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0124.JPG,5200,3900,chat,226,2774,563,3070,96
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0124.JPG,5200,3900,ground,581,2754,918,3050,97
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0166.JPG,5200,3900,Abeille,17,562,727,887,98
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0166.JPG,5200,3900,ground,795,510,1505,835,99
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0202.JPG,5200,3900,chevreuil,174,2354,441,2980,100
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0202.JPG,5200,3900,ground,463,2330,730,2956,101
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0220.JPG,5200,3900,chevreuil,3479,2005,4008,2898,102
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0220.JPG,5200,3900,ground,4028,1979,4557,2872,103
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,Corneille,3207,1433,3866,1780,104
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,ground,3879,1404,4538,1751,105
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,Corneille,1816,1333,1872,1403,106
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,ground,1752,1326,1808,1396,107
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0225.JPG,5200,3900,Corneille,3221,251,3503,543,108
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0225.JPG,5200,3900,ground,2922,239,3204,531,109
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0227.JPG,5200,3900,incertain,3119,704,3184,734,110
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0227.JPG,5200,3900,ground,3047,699,3112,729,111
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0228.JPG,5200,3900,pigeon,2957,1876,3191,2052,112
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0228.JPG,5200,3900,ground,3204,1867,3438,2043,113
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0229.JPG,5200,3900,incertain,3555,865,3596,891,114
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0229.JPG,5200,3900,ground,3510,859,3551,885,115
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0374.JPG,5200,3900,incertain,2485,2363,2832,2630,116
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0374.JPG,5200,3900,ground,2117,2335,2464,2602,117
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0385.JPG,5200,3900,Lapin,1246,2658,1398,2914,118
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0385.JPG,5200,3900,ground,1426,2642,1578,2898,119
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0385.JPG,5200,3900,Corneille,2198,3054,2474,3280,120
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0385.JPG,5200,3900,ground,1898,3026,2174,3252,121
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0389.JPG,5200,3900,incertain,457,3215,594,3368,122
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0389.JPG,5200,3900,ground,309,3203,446,3356,123
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0396.JPG,5200,3900,incertain,3443,1298,3517,1345,124
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0396.JPG,5200,3900,ground,3359,1290,3433,1337,125
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0405.JPG,5200,3900,lapin,235,2442,348,2661,126
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0405.JPG,5200,3900,ground,109,2433,222,2652,127
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0409.JPG,5200,3900,chat,1,2614,203,2865,128
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0409.JPG,5200,3900,ground,213,2601,416,2852,129
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0416.JPG,5200,3900,incertain,4159,1705,4768,2083,130
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0416.JPG,5200,3900,ground,3533,1683,4142,2061,131
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0418.JPG,5200,3900,chevreuil,3611,1746,4050,2121,132
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0418.JPG,5200,3900,ground,3150,1730,3589,2105,133
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0444.JPG,5200,3900,incertain,988,2005,1438,2215,134
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0444.JPG,5200,3900,ground,1456,1991,1906,2201,135
./donneesSausse/2018_grignon_tout/04,EK000049_4.JPG,3264,2448,corneille,743,819,753,832,136
./donneesSausse/2018_grignon_tout/04,EK000049_4.JPG,3264,2448,ground,730,817,740,830,137
./donneesSausse/2018_grignon_tout/04,EK000049_4.JPG,3264,2448,corneille,895,856,905,866,138
./donneesSausse/2018_grignon_tout/04,EK000049_4.JPG,3264,2448,ground,882,854,892,864,139
./donneesSausse/2018_grignon_tout/04,EK000325_4.JPG,3264,2448,corneille,436,854,458,876,140
./donneesSausse/2018_grignon_tout/04,EK000325_4.JPG,3264,2448,ground,410,851,432,873,141
./donneesSausse/2018_grignon_tout/03,EK000227_3.JPG,3264,2448,corneille,1099,1032,1132,1077,142
./donneesSausse/2018_grignon_tout/03,EK000227_3.JPG,3264,2448,ground,1060,1029,1093,1074,143
./donneesSausse/2018_grignon_tout/03,EK000231_3.JPG,3264,2448,corneille,957,895,979,912,144
./donneesSausse/2018_grignon_tout/03,EK000231_3.JPG,3264,2448,ground,932,892,954,909,145
./donneesSausse/2018_grignon_tout/03,EK000247_3.JPG,3264,2448,pigeon,949,976,967,1003,146
./donneesSausse/2018_grignon_tout/03,EK000247_3.JPG,3264,2448,dirt,931,976,950,1005,147
./donneesSausse/2018_grignon_tout/03,EK000312_3.JPG,3264,2448,corneille,708,927,724,937,148
./donneesSausse/2018_grignon_tout/03,EK000312_3.JPG,3264,2448,ground,689,925,705,935,149
./donneesSausse/2018_grignon_tout/03,EK000312_3.JPG,3264,2448,corneille,885,944,913,954,150
./donneesSausse/2018_grignon_tout/03,EK000312_3.JPG,3264,2448,ground,854,941,882,951,151
./donneesSausse/2018_grignon_tout/03,EK000314_3.JPG,3264,2448,corneille,530,1016,583,1053,152
./donneesSausse/2018_grignon_tout/03,EK000314_3.JPG,3264,2448,ground,469,1010,522,1047,153
./donneesSausse/2018_grignon_tout/03,EK000322_3.JPG,3264,2448,crow,1173,915,1195,931,154
./donneesSausse/2018_grignon_tout/03,EK000322_3.JPG,3264,2448,dirt,1206,915,1228,932,155
./donneesSausse/2018_grignon_tout/03,EK000325_3.JPG,3264,2448,corneille,1165,1022,1205,1045,156
./donneesSausse/2018_grignon_tout/03,EK000325_3.JPG,3264,2448,ground,1120,1019,1160,1042,157
./donneesSausse/2018_grignon_tout/03,EK000325_3.JPG,3264,2448,corneille,2196,1898,2504,2163,158
./donneesSausse/2018_grignon_tout/03,EK000325_3.JPG,3264,2448,ground,1878,1885,2186,2150,159
./donneesSausse/2018_grignon_tout/03,EK000326_3.JPG,3264,2448,corneille,976,1766,1172,2045,160
./donneesSausse/2018_grignon_tout/03,EK000326_3.JPG,3264,2448,ground,770,1754,966,2033,161
./donneesSausse/2018_grignon_tout/03,EK000326_3.JPG,3264,2448,corneille,1157,1029,1189,1045,162
./donneesSausse/2018_grignon_tout/03,EK000326_3.JPG,3264,2448,ground,1121,1025,1153,1041,163
./donneesSausse/2018_grignon_tout/03,EK000340_3.JPG,3264,2448,leaf,1004,1601,1081,1651,164
./donneesSausse/2018_grignon_tout/03,EK000340_3.JPG,3264,2448,leaf,1476,1642,1543,1698,165
./donneesSausse/2018_grignon_tout/03,EK000342_3.JPG,3264,2448,leaf,634,2171,765,2297,166
./donneesSausse/2018_grignon_tout/03,EK000343_3.JPG,3264,2448,leaf,632,2174,763,2300,167
./donneesSausse/2018_grignon_tout/03,EK000345_3.JPG,3264,2448,leaf,1096,1495,1189,1612,168
./donneesSausse/2018_grignon_tout/03,EK000349_3.JPG,3264,2448,shadow,1134,1557,1239,1619,169
./donneesSausse/2018_grignon_tout/03,EK000349_3.JPG,3264,2448,shadow,884,1869,1015,1933,170
./donneesSausse/2018_grignon_tout/03,EK000388_3.JPG,3264,2448,faisan,866,895,909,934,171
./donneesSausse/2018_grignon_tout/03,EK000388_3.JPG,3264,2448,ground,819,892,862,931,172
./donneesSausse/2018_grignon_tout/03,EK000404_3.JPG,3264,2448,leaf,887,2045,1006,2166,173
./donneesSausse/2018_grignon_tout/03,EK000405_3.JPG,3264,2448,corneille,1118,869,1161,887,174
./donneesSausse/2018_grignon_tout/03,EK000405_3.JPG,3264,2448,ground,1071,867,1114,885,175
./donneesSausse/2018_grignon_tout/03,EK000411_3.JPG,3264,2448,leaf,968,1569,1084,1690,176
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,pigeon,596,1019,660,1049,177
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,w,632,910,670,937,178
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,pigeon,1191,969,1235,999,179
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,pigeon,1263,960,1293,983,180
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,pigeon,1229,986,1273,1013,181
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,dirt,650,893,683,917,182
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,dirt,595,1048,664,1078,183
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,dirt,1140,969,1188,1001,184
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,dirt,1300,958,1330,985,185
./donneesSausse/2018_grignon_tout/03,EK000414_3.JPG,3264,2448,dirt,1179,1004,1224,1036,186
./donneesSausse/2018_grignon_tout/03,EK000430_3.JPG,3264,2448,faisan,1650,975,1755,1031,187
./donneesSausse/2018_grignon_tout/03,EK000430_3.JPG,3264,2448,ground,1541,969,1646,1025,188
./donneesSausse/2018_grignon_tout/03,EK000430_3.JPG,3264,2448,pigeon,1660,1105,1727,1137,189
./donneesSausse/2018_grignon_tout/03,EK000430_3.JPG,3264,2448,ground,1589,1102,1656,1134,190
./donneesSausse/2018_grignon_tout/03,EK000453_3.JPG,3264,2448,oiseau,1314,919,1351,947,191
./donneesSausse/2018_grignon_tout/03,EK000453_3.JPG,3264,2448,oiseau,1363,919,1389,952,192
./donneesSausse/2018_grignon_tout/03,EK000453_3.JPG,3264,2448,dirt,1269,919,1310,947,193
./donneesSausse/2018_grignon_tout/03,EK000453_3.JPG,3264,2448,dirt,1394,919,1422,953,194
./donneesSausse/2018_grignon_tout/03,EK000454_3.JPG,3264,2448,faisan,374,1146,503,1255,195
./donneesSausse/2018_grignon_tout/03,EK000454_3.JPG,3264,2448,ground,238,1139,367,1248,196
./donneesSausse/2018_grignon_tout/03,EK000455_3.JPG,3264,2448,faisan,1316,1568,1672,1713,197
./donneesSausse/2018_grignon_tout/03,EK000455_3.JPG,3264,2448,ground,954,1562,1310,1707,198
./donneesSausse/2018_grignon_tout/03,EK000457_3.JPG,3264,2448,faisan,224,1381,521,1564,199
./donneesSausse/2018_grignon_tout/03,EK000457_3.JPG,3264,2448,ground,535,1368,832,1551,200
./donneesSausse/2018_grignon_tout/03,EK000471_3.JPG,3264,2448,leaf,979,1557,1089,1633,201
./donneesSausse/2018_grignon_tout/03,EK000474_3.JPG,3264,2448,leaf,887,2078,1006,2166,202
./donneesSausse/2018_grignon_tout/03,EK000474_3.JPG,3264,2448,leaf,696,2243,801,2328,203
./donneesSausse/2018_grignon_tout/03,EK000479_3.JPG,3264,2448,leaf,689,2195,777,2269,204
./donneesSausse/2018_grignon_tout/03,EK000479_3.JPG,3264,2448,leaf,994,2212,1099,2293,205
./donneesSausse/2018_grignon_tout/03,EK000489_3.JPG,3264,2448,faisan,1471,1488,1893,1639,206
./donneesSausse/2018_grignon_tout/03,EK000489_3.JPG,3264,2448,ground,1039,1502,1461,1653,207
