labels,class,img_paths
incertain,oiseau,Rec_images_bigger/DSCF0374_incertain_116.JPG
ground,autre,Rec_images_bigger/DSCF0374_ground_117.JPG
Lapin,lapin,Rec_images_bigger/DSCF0385_Lapin_118.JPG
ground,autre,Rec_images_bigger/DSCF0385_ground_119.JPG
Corneille,corneille,Rec_images_bigger/DSCF0385_Corneille_120.JPG
ground,autre,Rec_images_bigger/DSCF0385_ground_121.JPG
incertain,oiseau,Rec_images_bigger/DSCF0389_incertain_122.JPG
ground,autre,Rec_images_bigger/DSCF0389_ground_123.JPG
incertain,oiseau,Rec_images_bigger/DSCF0396_incertain_124.JPG
ground,autre,Rec_images_bigger/DSCF0396_ground_125.JPG
lapin,lapin,Rec_images_bigger/DSCF0405_lapin_126.JPG
ground,autre,Rec_images_bigger/DSCF0405_ground_127.JPG
chat,chat,Rec_images_bigger/DSCF0409_chat_128.JPG
ground,autre,Rec_images_bigger/DSCF0409_ground_129.JPG
incertain,oiseau,Rec_images_bigger/DSCF0416_incertain_130.JPG
ground,autre,Rec_images_bigger/DSCF0416_ground_131.JPG
chevreuil,chevreuil,Rec_images_bigger/DSCF0418_chevreuil_132.JPG
ground,autre,Rec_images_bigger/DSCF0418_ground_133.JPG
incertain,oiseau,Rec_images_bigger/DSCF0444_incertain_134.JPG
ground,autre,Rec_images_bigger/DSCF0444_ground_135.JPG
corneille,corneille,Rec_images_bigger/EK000049_4_corneille_136.JPG
ground,autre,Rec_images_bigger/EK000049_4_ground_137.JPG
corneille,corneille,Rec_images_bigger/EK000049_4_corneille_138.JPG
ground,autre,Rec_images_bigger/EK000049_4_ground_139.JPG
corneille,corneille,Rec_images_bigger/EK000325_4_corneille_140.JPG
ground,autre,Rec_images_bigger/EK000325_4_ground_141.JPG
corneille,corneille,Rec_images_bigger/EK000227_3_corneille_142.JPG
ground,autre,Rec_images_bigger/EK000227_3_ground_143.JPG
corneille,corneille,Rec_images_bigger/EK000231_3_corneille_144.JPG
ground,autre,Rec_images_bigger/EK000231_3_ground_145.JPG
pigeon,pigeon,Rec_images_bigger/EK000247_3_pigeon_146.JPG
dirt,autre,Rec_images_bigger/EK000247_3_dirt_147.JPG
corneille,corneille,Rec_images_bigger/EK000312_3_corneille_148.JPG
ground,autre,Rec_images_bigger/EK000312_3_ground_149.JPG
corneille,corneille,Rec_images_bigger/EK000312_3_corneille_150.JPG
ground,autre,Rec_images_bigger/EK000312_3_ground_151.JPG
corneille,corneille,Rec_images_bigger/EK000314_3_corneille_152.JPG
ground,autre,Rec_images_bigger/EK000314_3_ground_153.JPG
crow,corneille,Rec_images_bigger/EK000322_3_crow_154.JPG
dirt,autre,Rec_images_bigger/EK000322_3_dirt_155.JPG
corneille,corneille,Rec_images_bigger/EK000325_3_corneille_156.JPG
ground,autre,Rec_images_bigger/EK000325_3_ground_157.JPG
corneille,corneille,Rec_images_bigger/EK000325_3_corneille_158.JPG
ground,autre,Rec_images_bigger/EK000325_3_ground_159.JPG
corneille,corneille,Rec_images_bigger/EK000326_3_corneille_160.JPG
ground,autre,Rec_images_bigger/EK000326_3_ground_161.JPG
corneille,corneille,Rec_images_bigger/EK000326_3_corneille_162.JPG
ground,autre,Rec_images_bigger/EK000326_3_ground_163.JPG
leaf,autre,Rec_images_bigger/EK000340_3_leaf_164.JPG
leaf,autre,Rec_images_bigger/EK000340_3_leaf_165.JPG
leaf,autre,Rec_images_bigger/EK000342_3_leaf_166.JPG
leaf,autre,Rec_images_bigger/EK000343_3_leaf_167.JPG
leaf,autre,Rec_images_bigger/EK000345_3_leaf_168.JPG
shadow,autre,Rec_images_bigger/EK000349_3_shadow_169.JPG
shadow,autre,Rec_images_bigger/EK000349_3_shadow_170.JPG
faisan,faisan,Rec_images_bigger/EK000388_3_faisan_171.JPG
ground,autre,Rec_images_bigger/EK000388_3_ground_172.JPG
leaf,autre,Rec_images_bigger/EK000404_3_leaf_173.JPG
corneille,corneille,Rec_images_bigger/EK000405_3_corneille_174.JPG
ground,autre,Rec_images_bigger/EK000405_3_ground_175.JPG
leaf,autre,Rec_images_bigger/EK000411_3_leaf_176.JPG
pigeon,pigeon,Rec_images_bigger/EK000414_3_pigeon_177.JPG
pigeon,pigeon,Rec_images_bigger/EK000414_3_pigeon_178.JPG
pigeon,pigeon,Rec_images_bigger/EK000414_3_pigeon_179.JPG
pigeon,pigeon,Rec_images_bigger/EK000414_3_pigeon_180.JPG
pigeon,pigeon,Rec_images_bigger/EK000414_3_pigeon_181.JPG
dirt,autre,Rec_images_bigger/EK000414_3_dirt_182.JPG
dirt,autre,Rec_images_bigger/EK000414_3_dirt_183.JPG
dirt,autre,Rec_images_bigger/EK000414_3_dirt_184.JPG
dirt,autre,Rec_images_bigger/EK000414_3_dirt_185.JPG
dirt,autre,Rec_images_bigger/EK000414_3_dirt_186.JPG
faisan,faisan,Rec_images_bigger/EK000430_3_faisan_187.JPG
ground,autre,Rec_images_bigger/EK000430_3_ground_188.JPG
pigeon,pigeon,Rec_images_bigger/EK000430_3_pigeon_189.JPG
ground,autre,Rec_images_bigger/EK000430_3_ground_190.JPG
oiseau,oiseau,Rec_images_bigger/EK000453_3_oiseau_191.JPG
oiseau,oiseau,Rec_images_bigger/EK000453_3_oiseau_192.JPG
dirt,autre,Rec_images_bigger/EK000453_3_dirt_193.JPG
dirt,autre,Rec_images_bigger/EK000453_3_dirt_194.JPG
faisan,faisan,Rec_images_bigger/EK000454_3_faisan_195.JPG
ground,autre,Rec_images_bigger/EK000454_3_ground_196.JPG
faisan,faisan,Rec_images_bigger/EK000455_3_faisan_197.JPG
ground,autre,Rec_images_bigger/EK000455_3_ground_198.JPG
faisan,faisan,Rec_images_bigger/EK000457_3_faisan_199.JPG
ground,autre,Rec_images_bigger/EK000457_3_ground_200.JPG
leaf,autre,Rec_images_bigger/EK000471_3_leaf_201.JPG
leaf,autre,Rec_images_bigger/EK000474_3_leaf_202.JPG
leaf,autre,Rec_images_bigger/EK000474_3_leaf_203.JPG
leaf,autre,Rec_images_bigger/EK000479_3_leaf_204.JPG
leaf,autre,Rec_images_bigger/EK000479_3_leaf_205.JPG
faisan,faisan,Rec_images_bigger/EK000489_3_faisan_206.JPG
ground,autre,Rec_images_bigger/EK000489_3_ground_207.JPG
faisan,faisan,Rec_images_bigger/EK000489_3_faisan_208.JPG
ground,autre,Rec_images_bigger/EK000489_3_ground_209.JPG
corneille,corneille,Rec_images_bigger/EK000535_3_corneille_210.JPG
ground,autre,Rec_images_bigger/EK000535_3_ground_211.JPG
corneille,corneille,Rec_images_bigger/EK000535_3_corneille_212.JPG
ground,autre,Rec_images_bigger/EK000535_3_ground_213.JPG
corneille,corneille,Rec_images_bigger/EK000535_3_corneille_214.JPG
ground,autre,Rec_images_bigger/EK000535_3_ground_215.JPG
corneille,corneille,Rec_images_bigger/EK000535_3_corneille_216.JPG
ground,autre,Rec_images_bigger/EK000535_3_ground_217.JPG
corneille,corneille,Rec_images_bigger/EK000131_2_corneille_218.JPG
ground,autre,Rec_images_bigger/EK000131_2_ground_219.JPG
incertain,oiseau,Rec_images_bigger/EK000179_2_incertain_220.JPG
ground,autre,Rec_images_bigger/EK000179_2_ground_221.JPG
incertain,oiseau,Rec_images_bigger/EK000180_2_incertain_222.JPG
ground,autre,Rec_images_bigger/EK000180_2_ground_223.JPG
faisan,faisan,Rec_images_bigger/EK000238_2_faisan_224.JPG
ground,autre,Rec_images_bigger/EK000238_2_ground_225.JPG
corneille,corneille,Rec_images_bigger/EK000326_2_corneille_226.JPG
ground,autre,Rec_images_bigger/EK000326_2_ground_227.JPG
corneille,corneille,Rec_images_bigger/EK000347_2_corneille_228.JPG
ground,autre,Rec_images_bigger/EK000347_2_ground_229.JPG
corneille,corneille,Rec_images_bigger/EK000350_2_corneille_230.JPG
ground,autre,Rec_images_bigger/EK000350_2_ground_231.JPG
incertain,oiseau,Rec_images_bigger/EK000387_2_incertain_232.JPG
ground,autre,Rec_images_bigger/EK000387_2_ground_233.JPG
corneille,corneille,Rec_images_bigger/EK000410_2_corneille_234.JPG
ground,autre,Rec_images_bigger/EK000410_2_ground_235.JPG
corneille,corneille,Rec_images_bigger/EK000410_2_corneille_236.JPG
ground,autre,Rec_images_bigger/EK000410_2_ground_237.JPG
corneille,corneille,Rec_images_bigger/EK000420_2_corneille_238.JPG
ground,autre,Rec_images_bigger/EK000420_2_ground_239.JPG
corneille,corneille,Rec_images_bigger/EK000474_2_corneille_240.JPG
ground,autre,Rec_images_bigger/EK000474_2_ground_241.JPG
corneille,corneille,Rec_images_bigger/EK000477_2_corneille_242.JPG
ground,autre,Rec_images_bigger/EK000477_2_ground_243.JPG
corneille,corneille,Rec_images_bigger/EK000488_2_corneille_244.JPG
ground,autre,Rec_images_bigger/EK000488_2_ground_245.JPG
corneille,corneille,Rec_images_bigger/EK000490_2_corneille_246.JPG
ground,autre,Rec_images_bigger/EK000490_2_ground_247.JPG
corneille,corneille,Rec_images_bigger/EK000494_2_corneille_248.JPG
ground,autre,Rec_images_bigger/EK000494_2_ground_249.JPG
corneille,corneille,Rec_images_bigger/EK000514_2_corneille_250.JPG
ground,autre,Rec_images_bigger/EK000514_2_ground_251.JPG
corneille,corneille,Rec_images_bigger/EK000515_2_corneille_252.JPG
ground,autre,Rec_images_bigger/EK000515_2_ground_253.JPG
pigeon,pigeon,Rec_images_bigger/EK000544_2_pigeon_254.JPG
ground,autre,Rec_images_bigger/EK000544_2_ground_255.JPG
pigeon,pigeon,Rec_images_bigger/EK000544_2_pigeon_256.JPG
ground,autre,Rec_images_bigger/EK000544_2_ground_257.JPG
pigeon,pigeon,Rec_images_bigger/EK000544_2_pigeon_258.JPG
ground,autre,Rec_images_bigger/EK000544_2_ground_259.JPG
sanglier,sanglier,Rec_images_bigger/EK000588_2_sanglier_260.JPG
ground,autre,Rec_images_bigger/EK000588_2_ground_261.JPG
sanglier,sanglier,Rec_images_bigger/EK000589_2_sanglier_262.JPG
ground,autre,Rec_images_bigger/EK000589_2_ground_263.JPG
sanglier,sanglier,Rec_images_bigger/EK000592_2_sanglier_264.JPG
ground,autre,Rec_images_bigger/EK000592_2_ground_265.JPG
sanglier,sanglier,Rec_images_bigger/EK000593_2_sanglier_266.JPG
ground,autre,Rec_images_bigger/EK000593_2_ground_267.JPG
corneille,corneille,Rec_images_bigger/EK000138_corneille_268.JPG
ground,autre,Rec_images_bigger/EK000138_ground_269.JPG
pigeon,pigeon,Rec_images_bigger/EK000141_pigeon_270.JPG
ground,autre,Rec_images_bigger/EK000141_ground_271.JPG
pigeon,pigeon,Rec_images_bigger/EK000141_pigeon_272.JPG
ground,autre,Rec_images_bigger/EK000141_ground_273.JPG
pigeon,pigeon,Rec_images_bigger/EK000142_pigeon_274.JPG
ground,autre,Rec_images_bigger/EK000142_ground_275.JPG
pigeon,pigeon,Rec_images_bigger/EK000142_pigeon_276.JPG
ground,autre,Rec_images_bigger/EK000142_ground_277.JPG
pigeon,pigeon,Rec_images_bigger/EK000142_pigeon_278.JPG
ground,autre,Rec_images_bigger/EK000142_ground_279.JPG
pigeon,pigeon,Rec_images_bigger/EK000142_pigeon_280.JPG
ground,autre,Rec_images_bigger/EK000142_ground_281.JPG
pigeon,pigeon,Rec_images_bigger/EK000144_pigeon_282.JPG
ground,autre,Rec_images_bigger/EK000144_ground_283.JPG
pigeon,pigeon,Rec_images_bigger/EK000144_pigeon_284.JPG
ground,autre,Rec_images_bigger/EK000144_ground_285.JPG
pigeon,pigeon,Rec_images_bigger/EK000144_pigeon_286.JPG
ground,autre,Rec_images_bigger/EK000144_ground_287.JPG
pigeon,pigeon,Rec_images_bigger/EK000144_pigeon_288.JPG
ground,autre,Rec_images_bigger/EK000144_ground_289.JPG
pigeon,pigeon,Rec_images_bigger/EK000144_pigeon_290.JPG
ground,autre,Rec_images_bigger/EK000144_ground_291.JPG
pigeon,pigeon,Rec_images_bigger/EK000144_pigeon_292.JPG
ground,autre,Rec_images_bigger/EK000144_ground_293.JPG
pigeon,pigeon,Rec_images_bigger/EK000150_pigeon_294.JPG
ground,autre,Rec_images_bigger/EK000150_ground_295.JPG
lapin,lapin,Rec_images_bigger/EK000162_lapin_296.JPG
ground,autre,Rec_images_bigger/EK000162_ground_297.JPG
lapin,lapin,Rec_images_bigger/EK000163_lapin_298.JPG
ground,autre,Rec_images_bigger/EK000163_ground_299.JPG
lapin,lapin,Rec_images_bigger/EK000169_lapin_300.JPG
ground,autre,Rec_images_bigger/EK000169_ground_301.JPG
lapin,lapin,Rec_images_bigger/EK000171_lapin_302.JPG
ground,autre,Rec_images_bigger/EK000171_ground_303.JPG
lapin,lapin,Rec_images_bigger/EK000172_lapin_304.JPG
ground,autre,Rec_images_bigger/EK000172_ground_305.JPG
pigeon,pigeon,Rec_images_bigger/EK000180_pigeon_306.JPG
ground,autre,Rec_images_bigger/EK000180_ground_307.JPG
pigeon,pigeon,Rec_images_bigger/EK000183_pigeon_308.JPG
ground,autre,Rec_images_bigger/EK000183_ground_309.JPG
pigeon,pigeon,Rec_images_bigger/EK000183_pigeon_310.JPG
ground,autre,Rec_images_bigger/EK000183_ground_311.JPG
pigeon,pigeon,Rec_images_bigger/EK000183_pigeon_312.JPG
ground,autre,Rec_images_bigger/EK000183_ground_313.JPG
pigeon,pigeon,Rec_images_bigger/EK000183_pigeon_314.JPG
ground,autre,Rec_images_bigger/EK000183_ground_315.JPG
pigeon,pigeon,Rec_images_bigger/EK000183_pigeon_316.JPG
ground,autre,Rec_images_bigger/EK000183_ground_317.JPG
pigeon,pigeon,Rec_images_bigger/EK000183_pigeon_318.JPG
ground,autre,Rec_images_bigger/EK000183_ground_319.JPG
pigeon,pigeon,Rec_images_bigger/EK000183_pigeon_320.JPG
ground,autre,Rec_images_bigger/EK000183_ground_321.JPG
pigeon,pigeon,Rec_images_bigger/EK000183_pigeon_322.JPG
ground,autre,Rec_images_bigger/EK000183_ground_323.JPG
pigeon,pigeon,Rec_images_bigger/EK000184_pigeon_324.JPG
ground,autre,Rec_images_bigger/EK000184_ground_325.JPG
pigeon,pigeon,Rec_images_bigger/EK000184_pigeon_326.JPG
ground,autre,Rec_images_bigger/EK000184_ground_327.JPG
pigeon,pigeon,Rec_images_bigger/EK000184_pigeon_328.JPG
ground,autre,Rec_images_bigger/EK000184_ground_329.JPG
pigeon,pigeon,Rec_images_bigger/EK000184_pigeon_330.JPG
ground,autre,Rec_images_bigger/EK000184_ground_331.JPG
pigeon,pigeon,Rec_images_bigger/EK000184_pigeon_332.JPG
ground,autre,Rec_images_bigger/EK000184_ground_333.JPG
pigeon,pigeon,Rec_images_bigger/EK000185_pigeon_334.JPG
ground,autre,Rec_images_bigger/EK000185_ground_335.JPG
pigeon,pigeon,Rec_images_bigger/EK000219_pigeon_336.JPG
ground,autre,Rec_images_bigger/EK000219_ground_337.JPG
pigeon,pigeon,Rec_images_bigger/EK000219_pigeon_338.JPG
ground,autre,Rec_images_bigger/EK000219_ground_339.JPG
pigeon,pigeon,Rec_images_bigger/EK000219_pigeon_340.JPG
ground,autre,Rec_images_bigger/EK000219_ground_341.JPG
pigeon,pigeon,Rec_images_bigger/EK000219_pigeon_342.JPG
ground,autre,Rec_images_bigger/EK000219_ground_343.JPG
pigeon,pigeon,Rec_images_bigger/EK000219_pigeon_344.JPG
ground,autre,Rec_images_bigger/EK000219_ground_345.JPG
pigeon,pigeon,Rec_images_bigger/EK000219_pigeon_346.JPG
ground,autre,Rec_images_bigger/EK000219_ground_347.JPG
pigeon,pigeon,Rec_images_bigger/EK000220_pigeon_348.JPG
ground,autre,Rec_images_bigger/EK000220_ground_349.JPG
pigeon,pigeon,Rec_images_bigger/EK000220_pigeon_350.JPG
ground,autre,Rec_images_bigger/EK000220_ground_351.JPG
pigeon,pigeon,Rec_images_bigger/EK000220_pigeon_352.JPG
ground,autre,Rec_images_bigger/EK000220_ground_353.JPG
pigeon,pigeon,Rec_images_bigger/EK000220_pigeon_354.JPG
ground,autre,Rec_images_bigger/EK000220_ground_355.JPG
pigeon,pigeon,Rec_images_bigger/EK000220_pigeon_356.JPG
ground,autre,Rec_images_bigger/EK000220_ground_357.JPG
corneille,corneille,Rec_images_bigger/EK000221_corneille_358.JPG
ground,autre,Rec_images_bigger/EK000221_ground_359.JPG
pigeon,pigeon,Rec_images_bigger/EK000224_pigeon_360.JPG
ground,autre,Rec_images_bigger/EK000224_ground_361.JPG
pigeon,pigeon,Rec_images_bigger/EK000224_pigeon_362.JPG
ground,autre,Rec_images_bigger/EK000224_ground_363.JPG
pigeon,pigeon,Rec_images_bigger/EK000224_pigeon_364.JPG
ground,autre,Rec_images_bigger/EK000224_ground_365.JPG
pigeon,pigeon,Rec_images_bigger/EK000225_pigeon_366.JPG
ground,autre,Rec_images_bigger/EK000225_ground_367.JPG
pigeon,pigeon,Rec_images_bigger/EK000225_pigeon_368.JPG
ground,autre,Rec_images_bigger/EK000225_ground_369.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_370.JPG
ground,autre,Rec_images_bigger/EK000228_ground_371.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_372.JPG
ground,autre,Rec_images_bigger/EK000228_ground_373.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_374.JPG
ground,autre,Rec_images_bigger/EK000228_ground_375.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_376.JPG
ground,autre,Rec_images_bigger/EK000228_ground_377.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_378.JPG
ground,autre,Rec_images_bigger/EK000228_ground_379.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_380.JPG
ground,autre,Rec_images_bigger/EK000228_ground_381.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_382.JPG
ground,autre,Rec_images_bigger/EK000228_ground_383.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_384.JPG
ground,autre,Rec_images_bigger/EK000228_ground_385.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_386.JPG
ground,autre,Rec_images_bigger/EK000228_ground_387.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_388.JPG
ground,autre,Rec_images_bigger/EK000228_ground_389.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_390.JPG
ground,autre,Rec_images_bigger/EK000228_ground_391.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_392.JPG
ground,autre,Rec_images_bigger/EK000228_ground_393.JPG
pigeon,pigeon,Rec_images_bigger/EK000228_pigeon_394.JPG
ground,autre,Rec_images_bigger/EK000228_ground_395.JPG
pigeon,pigeon,Rec_images_bigger/EK000229_pigeon_396.JPG
ground,autre,Rec_images_bigger/EK000229_ground_397.JPG
pigeon,pigeon,Rec_images_bigger/EK000229_pigeon_398.JPG
ground,autre,Rec_images_bigger/EK000229_ground_399.JPG
pigeon,pigeon,Rec_images_bigger/EK000230_pigeon_400.JPG
ground,autre,Rec_images_bigger/EK000230_ground_401.JPG
pigeon,pigeon,Rec_images_bigger/EK000230_pigeon_402.JPG
ground,autre,Rec_images_bigger/EK000230_ground_403.JPG
corneille,corneille,Rec_images_bigger/EK000231_corneille_404.JPG
ground,autre,Rec_images_bigger/EK000231_ground_405.JPG
pigeon,pigeon,Rec_images_bigger/EK000231_pigeon_406.JPG
ground,autre,Rec_images_bigger/EK000231_ground_407.JPG
pigeon,pigeon,Rec_images_bigger/EK000231_pigeon_408.JPG
ground,autre,Rec_images_bigger/EK000231_ground_409.JPG
pigeon,pigeon,Rec_images_bigger/EK000247_pigeon_410.JPG
ground,autre,Rec_images_bigger/EK000247_ground_411.JPG
corneille,corneille,Rec_images_bigger/EK000259_corneille_412.JPG
ground,autre,Rec_images_bigger/EK000259_ground_413.JPG
corneille,corneille,Rec_images_bigger/EK000263_corneille_414.JPG
