path,filename,width,height,classe,xmin,ymin,xmax,ymax,index,imagetteName
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0342.JPG,5200,3900,incertain,1038,3558,1167,3625,18,DSCF0342_incertain_18.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0342.JPG,5200,3900,ground,903,3552,1032,3619,19,DSCF0342_ground_19.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0342.JPG,5200,3900,pie,4536,3243,4584,3297,20,DSCF0342_pie_20.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0342.JPG,5200,3900,ground,4484,3241,4532,3295,21,DSCF0342_ground_21.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,2153,3280,2209,3328,22,DSCF0343_pigeon_22.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,2216,3270,2272,3318,23,DSCF0343_ground_23.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,2108,3330,2187,3374,24,DSCF0343_pigeon_24.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,2020,3319,2099,3363,25,DSCF0343_ground_25.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,2182,3394,2301,3483,26,DSCF0343_pigeon_26.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,2311,3386,2430,3475,27,DSCF0343_ground_27.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,633,3220,728,3274,28,DSCF0343_pigeon_28.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,532,3214,627,3268,29,DSCF0343_ground_29.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,1239,3350,1324,3412,30,DSCF0343_pigeon_30.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,1141,3345,1226,3407,31,DSCF0343_ground_31.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,pigeon,1266,2946,1328,2989,32,DSCF0343_pigeon_32.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,1193,2938,1255,2981,33,DSCF0343_ground_33.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,incertain,920,2721,953,2755,34,DSCF0343_incertain_34.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0343.JPG,5200,3900,ground,959,2718,992,2752,35,DSCF0343_ground_35.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0555.JPG,5200,3900,incertain,3331,2239,3412,2297,36,DSCF0555_incertain_36.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0555.JPG,5200,3900,ground,3245,2231,3326,2289,37,DSCF0555_ground_37.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0589.JPG,5200,3900,incertain,1132,215,1439,411,38,DSCF0589_incertain_38.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0589.JPG,5200,3900,ground,1449,206,1756,402,39,DSCF0589_ground_39.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0017.JPG,5200,3900,incertain,3123,2801,3151,2826,40,DSCF0017_incertain_40.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0017.JPG,5200,3900,ground,3092,2799,3120,2824,41,DSCF0017_ground_41.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0017.JPG,5200,3900,incertain,3144,2852,3186,2873,42,DSCF0017_incertain_42.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/101MEDIA,DSCF0017.JPG,5200,3900,ground,3098,2850,3140,2871,43,DSCF0017_ground_43.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0201.JPG,5200,3900,corneille,2222,2606,2287,2651,44,DSCF0201_corneille_44.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0201.JPG,5200,3900,ground,2145,2597,2210,2642,45,DSCF0201_ground_45.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0203.JPG,5200,3900,corneille,2468,2823,2515,2851,46,DSCF0203_corneille_46.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0203.JPG,5200,3900,ground,2415,2816,2462,2844,47,DSCF0203_ground_47.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0203.JPG,5200,3900,corneille,4788,2789,4829,2840,48,DSCF0203_corneille_48.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0203.JPG,5200,3900,ground,4741,2784,4782,2835,49,DSCF0203_ground_49.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,incertain,1631,2906,1711,2960,50,DSCF0223_incertain_50.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,ground,1544,2898,1624,2952,51,DSCF0223_ground_51.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0233.JPG,5200,3900,incertain,3965,2751,4034,2817,52,DSCF0233_incertain_52.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0233.JPG,5200,3900,ground,3885,2744,3954,2810,53,DSCF0233_ground_53.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0233.JPG,5200,3900,incertain,2462,1645,2563,1706,54,DSCF0233_incertain_54.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0233.JPG,5200,3900,ground,2352,1638,2453,1699,55,DSCF0233_ground_55.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0330.JPG,5200,3900,incertain,4597,2822,4639,2865,56,DSCF0330_incertain_56.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0330.JPG,5200,3900,ground,4548,2817,4590,2860,57,DSCF0330_ground_57.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0332.JPG,5200,3900,corneille,3764,3602,3836,3695,58,DSCF0332_corneille_58.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0332.JPG,5200,3900,ground,3685,3597,3757,3690,59,DSCF0332_ground_59.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0342.JPG,5200,3900,corneille,4042,3289,4085,3364,60,DSCF0342_corneille_60.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0342.JPG,5200,3900,ground,3994,3286,4037,3361,61,DSCF0342_ground_61.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0364.JPG,5200,3900,incertain,4118,1541,4228,1611,62,DSCF0364_incertain_62.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0364.JPG,5200,3900,ground,3996,1531,4106,1601,63,DSCF0364_ground_63.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0419.JPG,5200,3900,corneille,269,3168,371,3251,64,DSCF0419_corneille_64.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0419.JPG,5200,3900,ground,158,3162,260,3245,65,DSCF0419_ground_65.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0419.JPG,5200,3900,corneille,2066,3583,2143,3708,66,DSCF0419_corneille_66.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0419.JPG,5200,3900,ground,1976,3577,2053,3702,67,DSCF0419_ground_67.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0427.JPG,5200,3900,incertain,4479,2161,4576,2249,68,DSCF0427_incertain_68.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0427.JPG,5200,3900,ground,4374,2156,4471,2244,69,DSCF0427_ground_69.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0440.JPG,5200,3900,corneille,996,2981,1054,3031,70,DSCF0440_corneille_70.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0440.JPG,5200,3900,ground,931,2976,989,3026,71,DSCF0440_ground_71.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0505.JPG,5200,3900,incertain,2447,992,3667,1842,72,DSCF0505_incertain_72.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0505.JPG,5200,3900,ground,1165,960,2385,1810,73,DSCF0505_ground_73.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0517.JPG,5200,3900,incertain,4370,2780,4420,2811,74,DSCF0517_incertain_74.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0517.JPG,5200,3900,ground,4314,2774,4364,2805,75,DSCF0517_ground_75.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0528.JPG,5200,3900,corneille,1238,2767,1283,2805,76,DSCF0528_corneille_76.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0528.JPG,5200,3900,ground,1186,2764,1231,2802,77,DSCF0528_ground_77.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0533.JPG,5200,3900,corneille,2943,3063,3199,3468,78,DSCF0533_corneille_78.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0533.JPG,5200,3900,ground,3215,3051,3471,3456,79,DSCF0533_ground_79.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0556.JPG,5200,3900,corneille,3238,2760,3289,2791,80,DSCF0556_corneille_80.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0556.JPG,5200,3900,ground,3179,2753,3230,2784,81,DSCF0556_ground_81.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0579.JPG,5200,3900,incertain,3986,2032,4061,2090,82,DSCF0579_incertain_82.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0579.JPG,5200,3900,ground,3904,2027,3979,2085,83,DSCF0579_ground_83.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0681.JPG,5200,3900,corneille,274,2721,299,2759,84,DSCF0681_corneille_84.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0681.JPG,5200,3900,ground,242,2716,267,2754,85,DSCF0681_ground_85.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0776.JPG,5200,3900,incertain,4667,1371,4727,1423,86,DSCF0776_incertain_86.JPG
./TGO 2019 - photos caméras/Parcelle 1 Guilbot/DCIM/100MEDIA,DSCF0776.JPG,5200,3900,ground,4598,1366,4658,1418,87,DSCF0776_ground_87.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0046.JPG,5200,3900,incertain,2799,1689,3080,1976,88,DSCF0046_incertain_88.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0046.JPG,5200,3900,ground,2499,1682,2780,1969,89,DSCF0046_ground_89.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0047.JPG,5200,3900,pigeon,3100,1965,3342,2192,90,DSCF0047_pigeon_90.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0047.JPG,5200,3900,ground,2845,1955,3087,2182,91,DSCF0047_ground_91.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0103.JPG,5200,3900,incertain,1747,3237,2592,3727,92,DSCF0103_incertain_92.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0103.JPG,5200,3900,ground,845,3175,1690,3665,93,DSCF0103_ground_93.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0103.JPG,5200,3900,incertain,4047,3077,4522,3372,94,DSCF0103_incertain_94.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0103.JPG,5200,3900,ground,3505,3035,3980,3330,95,DSCF0103_ground_95.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0124.JPG,5200,3900,chat,226,2774,563,3070,96,DSCF0124_chat_96.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0124.JPG,5200,3900,ground,581,2754,918,3050,97,DSCF0124_ground_97.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0166.JPG,5200,3900,Abeille,17,562,727,887,98,DSCF0166_Abeille_98.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0166.JPG,5200,3900,ground,795,510,1505,835,99,DSCF0166_ground_99.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0202.JPG,5200,3900,chevreuil,174,2354,441,2980,100,DSCF0202_chevreuil_100.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0202.JPG,5200,3900,ground,463,2330,730,2956,101,DSCF0202_ground_101.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0220.JPG,5200,3900,chevreuil,3479,2005,4008,2898,102,DSCF0220_chevreuil_102.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0220.JPG,5200,3900,ground,4028,1979,4557,2872,103,DSCF0220_ground_103.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,Corneille,3207,1433,3866,1780,104,DSCF0223_Corneille_104.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,ground,3879,1404,4538,1751,105,DSCF0223_ground_105.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,Corneille,1816,1333,1872,1403,106,DSCF0223_Corneille_106.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0223.JPG,5200,3900,ground,1752,1326,1808,1396,107,DSCF0223_ground_107.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0225.JPG,5200,3900,Corneille,3221,251,3503,543,108,DSCF0225_Corneille_108.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0225.JPG,5200,3900,ground,2922,239,3204,531,109,DSCF0225_ground_109.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0227.JPG,5200,3900,incertain,3119,704,3184,734,110,DSCF0227_incertain_110.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0227.JPG,5200,3900,ground,3047,699,3112,729,111,DSCF0227_ground_111.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0228.JPG,5200,3900,pigeon,2957,1876,3191,2052,112,DSCF0228_pigeon_112.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0228.JPG,5200,3900,ground,3204,1867,3438,2043,113,DSCF0228_ground_113.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0229.JPG,5200,3900,incertain,3555,865,3596,891,114,DSCF0229_incertain_114.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0229.JPG,5200,3900,ground,3510,859,3551,885,115,DSCF0229_ground_115.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0374.JPG,5200,3900,incertain,2485,2363,2832,2630,116,DSCF0374_incertain_116.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0374.JPG,5200,3900,ground,2117,2335,2464,2602,117,DSCF0374_ground_117.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0385.JPG,5200,3900,Lapin,1246,2658,1398,2914,118,DSCF0385_Lapin_118.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0385.JPG,5200,3900,ground,1426,2642,1578,2898,119,DSCF0385_ground_119.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0385.JPG,5200,3900,Corneille,2198,3054,2474,3280,120,DSCF0385_Corneille_120.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0385.JPG,5200,3900,ground,1898,3026,2174,3252,121,DSCF0385_ground_121.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0389.JPG,5200,3900,incertain,457,3215,594,3368,122,DSCF0389_incertain_122.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0389.JPG,5200,3900,ground,309,3203,446,3356,123,DSCF0389_ground_123.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0396.JPG,5200,3900,incertain,3443,1298,3517,1345,124,DSCF0396_incertain_124.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0396.JPG,5200,3900,ground,3359,1290,3433,1337,125,DSCF0396_ground_125.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0405.JPG,5200,3900,lapin,235,2442,348,2661,126,DSCF0405_lapin_126.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0405.JPG,5200,3900,ground,109,2433,222,2652,127,DSCF0405_ground_127.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0409.JPG,5200,3900,chat,1,2614,203,2865,128,DSCF0409_chat_128.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0409.JPG,5200,3900,ground,213,2601,416,2852,129,DSCF0409_ground_129.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0416.JPG,5200,3900,incertain,4159,1705,4768,2083,130,DSCF0416_incertain_130.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0416.JPG,5200,3900,ground,3533,1683,4142,2061,131,DSCF0416_ground_131.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0418.JPG,5200,3900,chevreuil,3611,1746,4050,2121,132,DSCF0418_chevreuil_132.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0418.JPG,5200,3900,ground,3150,1730,3589,2105,133,DSCF0418_ground_133.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0444.JPG,5200,3900,incertain,988,2005,1438,2215,134,DSCF0444_incertain_134.JPG
./TGO 2019 - photos caméras/Parcelle 1 Forget/DCIM/100MEDIA,DSCF0444.JPG,5200,3900,ground,1456,1991,1906,2201,135,DSCF0444_ground_135.JPG
./donneesSausse/2018_grignon_tout/04,EK000049_4.JPG,3264,2448,corneille,743,819,753,832,136,EK000049_4_corneille_136.JPG
./donneesSausse/2018_grignon_tout/04,EK000049_4.JPG,3264,2448,ground,730,817,740,830,137,EK000049_4_ground_137.JPG
./donneesSausse/2018_grignon_tout/04,EK000049_4.JPG,3264,2448,corneille,895,856,905,866,138,EK000049_4_corneille_138.JPG
./donneesSausse/2018_grignon_tout/04,EK000049_4.JPG,3264,2448,ground,882,854,892,864,139,EK000049_4_ground_139.JPG
./donneesSausse/2018_grignon_tout/04,EK000325_4.JPG,3264,2448,corneille,436,854,458,876,140,EK000325_4_corneille_140.JPG
./donneesSausse/2018_grignon_tout/04,EK000325_4.JPG,3264,2448,ground,410,851,432,873,141,EK000325_4_ground_141.JPG
./donneesSausse/2018_grignon_tout/03,EK000227_3.JPG,3264,2448,corneille,1099,1032,1132,1077,142,EK000227_3_corneille_142.JPG
./donneesSausse/2018_grignon_tout/03,EK000227_3.JPG,3264,2448,ground,1060,1029,1093,1074,143,EK000227_3_ground_143.JPG
./donneesSausse/2018_grignon_tout/03,EK000231_3.JPG,3264,2448,corneille,957,895,979,912,144,EK000231_3_corneille_144.JPG
./donneesSausse/2018_grignon_tout/03,EK000231_3.JPG,3264,2448,ground,932,892,954,909,145,EK000231_3_ground_145.JPG
./donneesSausse/2018_grignon_tout/03,EK000247_3.JPG,3264,2448,pigeon,949,976,967,1003,146,EK000247_3_pigeon_146.JPG
./donneesSausse/2018_grignon_tout/03,EK000247_3.JPG,3264,2448,dirt,931,976,950,1005,147,EK000247_3_dirt_147.JPG
./donneesSausse/2018_grignon_tout/03,EK000312_3.JPG,3264,2448,corneille,708,927,724,937,148,EK000312_3_corneille_148.JPG
./donneesSausse/2018_grignon_tout/03,EK000312_3.JPG,3264,2448,ground,689,925,705,935,149,EK000312_3_ground_149.JPG
./donneesSausse/2018_grignon_tout/03,EK000312_3.JPG,3264,2448,corneille,885,944,913,954,150,EK000312_3_corneille_150.JPG
./donneesSausse/2018_grignon_tout/03,EK000312_3.JPG,3264,2448,ground,854,941,882,951,151,EK000312_3_ground_151.JPG
./donneesSausse/2018_grignon_tout/03,EK000314_3.JPG,3264,2448,corneille,530,1016,583,1053,152,EK000314_3_corneille_152.JPG
./donneesSausse/2018_grignon_tout/03,EK000314_3.JPG,3264,2448,ground,469,1010,522,1047,153,EK000314_3_ground_153.JPG
./donneesSausse/2018_grignon_tout/03,EK000322_3.JPG,3264,2448,crow,1173,915,1195,931,154,EK000322_3_crow_154.JPG
./donneesSausse/2018_grignon_tout/03,EK000322_3.JPG,3264,2448,dirt,1206,915,1228,932,155,EK000322_3_dirt_155.JPG
./donneesSausse/2018_grignon_tout/03,EK000325_3.JPG,3264,2448,corneille,1165,1022,1205,1045,156,EK000325_3_corneille_156.JPG
./donneesSausse/2018_grignon_tout/03,EK000325_3.JPG,3264,2448,ground,1120,1019,1160,1042,157,EK000325_3_ground_157.JPG
